Código do Cliente,Tipo de Negócio,Cidade,Estado,Solicitacao de Cadastro,Data da Conclusão de analise do time B,Analista time B,StatusFinal
94106054,5,Pau dos Ferros,Rio Grande do Norte,2021-05-23 15:24:50.087,2021-05-24 18:00:00,Fernando,Aprovado
123840233,3,Caruaru,Pernambuco,2021-07-08 14:32:34.037,2021-07-09 18:00:00,Débora,Aprovado
196263845,6,Mogi das Cruzes,São Paulo,2021-01-21 09:00:00.000,2021-01-21 15:54:50,Fernando,Aprovado
206908819,10,Maquiné,Rio Grande do Sul,2021-02-20 18:00:00.000,2021-02-21 17:55:10,Fernando,Aprovado
26288858,6,Icapuí,Ceará,2021-06-18 18:00:00.000,2021-06-20 14:38:21,Débora,Aprovado
29221557,10,Salgueiro,Pernambuco,2020-11-21 16:03:48.063,2020-11-22 18:00:00,Débora,Aprovado
30629821,6,Rio do Sul,Santa Catarina,2021-01-22 14:46:57.287,2021-01-23 09:52:04,Débora,Aprovado
36569748,7,Ariquemes,Rondônia,2021-04-19 09:46:32.860,2021-04-22 10:10:45,Débora,Aprovado
36765902,6,Parnamirim,Rio Grande do Norte,2021-06-24 14:44:12.460,2021-06-25 14:52:42,Débora,Aprovado
38520208,5,Faxinal,Paraná,2021-05-27 09:53:40.633,2021-05-27 18:00:00,Fernando,Aprovado
44617327,4,Manaus,Amazonas,2021-02-27 16:37:19.913,2021-02-27 18:00:00,Débora,Aprovado
45395826,1,Parauapebas,Pará,2021-04-04 16:00:02.800,2021-04-08 12:32:45,Débora,Aprovado
49925178,5,Caririaçu,Ceará,2021-05-13 18:00:00.000,2021-05-15 13:51:39,Débora,Aprovado
155061849,2,Virmond,Paraná,2021-07-04 14:36:13.437,2021-07-05 15:57:01,Fernando,Aprovado
177856864,9,Ituiutaba,Minas Gerais,2021-03-13 11:08:08.127,2021-03-13 18:00:00,Débora,Aprovado
180468046,6,Tubarão,Santa Catarina,2021-07-15 09:28:07.820,2021-07-16 11:25:19,Débora,Aprovado
28144335,5,Vitória da Conquista,Bahia,2021-04-09 16:42:39.790,2021-04-10 13:43:15,Débora,Aprovado
28559926,10,Campinas,São Paulo,2020-12-14 14:29:05.060,2020-12-17 18:00:00,Fernando,Aprovado
32674515,9,Brasília,Distrito Federal,2020-12-20 11:02:40.440,2020-12-21 16:49:56,Fernando,Aprovado
35330762,5,Trombudo Central,Santa Catarina,2021-04-10 09:28:32.167,2021-04-10 17:36:42,Débora,Aprovado
36206212,1,Presidente Getúlio,Santa Catarina,2021-04-09 09:49:07.607,2021-04-10 09:27:17,Débora,Aprovado
36549792,1,Serra do Mel,Rio Grande do Norte,2020-12-03 15:39:13.390,2020-12-03 18:00:00,Débora,Aprovado
43537157,6,Pinheiro Machado,Rio Grande do Sul,2021-03-14 17:18:06.870,2021-03-15 18:00:00,Fernando,Aprovado
47437456,5,Chapecó,Santa Catarina,2021-02-28 15:47:44.100,2021-03-01 11:03:54,Débora,Aprovado
165451993,1,Manoel Ribas,Paraná,2021-01-08 13:41:20.550,2021-01-08 15:15:34,Fernando,Aprovado
171848732,9,Recife,Pernambuco,2020-11-20 18:00:00.000,2020-11-21 17:57:09,Débora,Aprovado
231274512,9,Maringá,Paraná,2020-11-07 10:00:05.593,2020-11-08 14:20:27,Manoel,Aprovado
31783611,8,São José de Ribamar,Maranhão,2021-04-26 17:43:11.377,2021-04-29 11:36:34,Débora,Aprovado
36127739,6,São Caetano do Sul,São Paulo,2021-05-06 18:00:00.000,2021-05-08 13:50:44,Débora,Aprovado
44218906,10,Carandaí,Minas Gerais,2021-05-22 09:17:25.393,2021-05-23 12:03:58,Débora,Aprovado
87540845,7,Rio de Janeiro,Rio de Janeiro,2020-11-20 18:00:00.000,2020-11-22 14:23:23,Débora,Aprovado
184229493,10,Ribeirão das Neves,Minas Gerais,2021-07-09 09:56:31.283,2021-07-10 16:48:00,Débora,Aprovado
196475045,1,Itupeva,São Paulo,2021-02-21 17:23:45.717,2021-02-22 10:48:27,Débora,Aprovado
234865843,4,Caieiras,São Paulo,2021-04-19 14:22:48.490,2021-04-22 10:49:36,Débora,Aprovado
26383858,8,Tupanatinga,Pernambuco,2021-04-03 18:00:00.000,2021-04-08 09:50:26,Fernando,Aprovado
38142597,1,Cuiabá,Mato Grosso,2021-06-20 18:00:00.000,2021-06-24 16:27:39,Fernando,Aprovado
42848967,9,Macapá,Amapá,2021-01-08 16:23:09.963,2021-01-08 18:00:00,Fernando,Aprovado
43123299,10,Touros,Rio Grande do Norte,2021-04-02 10:30:29.850,2021-04-03 10:50:21,Débora,Aprovado
64210701,5,Campina Grande,Paraíba,2020-11-29 10:21:52.437,2020-11-29 17:53:30,Débora,Aprovado
71145272,5,João Pessoa,Paraíba,2021-04-15 16:56:05.727,2021-04-16 14:36:04,Débora,Aprovado
191430498,9,Salvador,Bahia,2021-01-01 09:00:00.000,2021-01-01 12:18:07,Débora,Não Aprovado
206639175,7,Ariranha do Ivaí,Paraná,2020-12-25 11:32:49.787,2020-12-26 17:10:24,Fernando,Aprovado
216801678,10,Recife,Pernambuco,2021-04-19 14:52:46.190,2021-04-22 10:13:33,Débora,Aprovado
219606542,4,Tietê,São Paulo,2020-11-21 18:00:00.000,2020-11-22 17:48:44,Débora,Aprovado
27563260,1,Porto Seguro,Bahia,2021-02-26 15:06:46.017,2021-02-27 10:15:03,Débora,Aprovado
27760423,9,Volta Redonda,Rio de Janeiro,2021-01-09 18:00:00.000,2021-01-10 16:57:38,Fernando,Aprovado
29176371,5,Cajamar,São Paulo,2021-02-01 18:00:00.000,2021-02-04 17:25:41,Débora,Aprovado
31168943,3,Carapebus,Rio de Janeiro,2021-07-12 12:33:59.363,2021-07-15 12:17:04,Débora,Aprovado
34246951,7,Pomerode,Santa Catarina,2021-04-11 16:59:49.840,2021-04-12 18:00:00,Fernando,Aprovado
35491489,5,Mossoró,Rio Grande do Norte,2021-04-19 15:14:52.120,2021-04-22 10:50:55,Débora,Aprovado
36752614,6,Nilópolis,Rio de Janeiro,2021-07-02 14:58:08.230,2021-07-03 16:28:06,Débora,Aprovado
37697885,3,Aracaju,Sergipe,2020-11-19 16:58:16.310,2020-11-20 18:00:00,Débora,Aprovado
41386384,1,Mamborê,Paraná,2021-04-26 15:02:08.493,2021-04-29 11:37:44,Débora,Aprovado
42180081,8,Fortaleza,Ceará,2021-05-14 13:25:38.060,2021-05-15 12:10:20,Débora,Aprovado
43223096,5,Mira Estrela,São Paulo,2020-12-13 11:29:57.850,2020-12-17 11:34:21,Débora,Aprovado
44208708,7,Nova Iguaçu,Rio de Janeiro,2021-01-28 18:00:00.000,2021-01-29 14:51:42,Débora,Aprovado
45474910,4,Capanema,Pará,2020-11-09 14:52:39.933,2020-11-12 11:19:19,Débora,Aprovado
45480642,9,Tanguá,Rio de Janeiro,2021-01-01 09:27:40.723,2021-01-01 12:22:00,Débora,Aprovado
46861044,10,São Gotardo,Minas Gerais,2021-03-29 09:49:51.277,2021-03-29 18:00:00,Fernando,Aprovado
48920668,9,Parauapebas,Pará,2021-03-28 13:48:24.153,2021-03-29 10:53:41,Débora,Aprovado
69621208,9,São Francisco,Sergipe,2021-03-25 18:00:00.000,2021-03-27 12:28:45,Débora,Aprovado
133778883,5,Senador Amaral,Minas Gerais,2021-04-30 16:51:22.690,2021-05-02 14:14:17,Débora,Aprovado
141614022,9,Curitiba,Paraná,2021-03-21 18:00:00.000,2021-03-25 10:12:43,Débora,Aprovado
147522790,6,Colatina,Espírito Santo,2021-07-05 16:05:51.193,2021-07-08 17:44:40,Débora,Aprovado
178240645,9,Lagoa D'Anta,Rio Grande do Norte,2021-05-03 11:14:44.557,2021-05-03 18:00:00,Fernando,Aprovado
27911642,6,Almenara,Minas Gerais,2021-05-30 10:45:46.777,2021-05-31 14:11:15,Fernando,Aprovado
28702500,2,Água Doce do Norte,Espírito Santo,2020-12-20 09:27:59.533,2020-12-24 13:14:33,Fernando,Aprovado
32575159,1,Ilhéus,Bahia,2020-11-19 15:27:20.003,2020-11-20 15:11:15,Débora,Aprovado
34577621,7,Canaã dos Carajás,Pará,2021-06-17 09:00:00.000,2021-06-18 11:53:36,Débora,Aprovado
41183888,9,Peritoró,Maranhão,2021-03-12 18:00:00.000,2021-03-13 18:00:00,Débora,Aprovado
44136853,5,Caruaru,Pernambuco,2021-01-08 17:01:31.493,2021-01-09 15:36:04,Fernando,Aprovado
44356766,2,Itaporanga,São Paulo,2020-12-07 18:00:00.000,2020-12-10 16:57:20,Fernando,Aprovado
44737782,8,João Pessoa,Paraíba,2021-04-15 18:00:00.000,2021-04-17 10:17:53,Débora,Aprovado
45860479,8,Macapá,Amapá,2021-04-11 18:00:00.000,2021-04-15 12:26:50,Débora,Aprovado
48524174,3,Cantagalo,Paraná,2021-05-24 18:00:00.000,2021-05-27 15:24:44,Débora,Aprovado
114889212,4,Santa Bárbara do Pará,Pará,2021-01-08 18:00:00.000,2021-01-09 15:24:57,Fernando,Aprovado
143618449,1,Leme,São Paulo,2021-05-24 11:08:37.190,2021-05-27 13:07:31,Débora,Aprovado
30467088,2,Teixeira de Freitas,Bahia,2021-04-29 09:53:06.953,2021-04-30 10:11:21,Débora,Aprovado
31199648,1,Santo Antônio do Amparo,Minas Gerais,2021-07-10 14:06:21.353,2021-07-11 15:17:16,Fernando,Aprovado
33784501,1,Manaus,Amazonas,2020-12-20 18:00:00.000,2020-12-24 18:00:00,Fernando,Aprovado
38653439,9,Irati,Paraná,2020-12-14 10:41:32.360,2020-12-17 14:52:37,Fernando,Aprovado
41730911,1,Porto Alegre,Rio Grande do Sul,2021-02-13 18:00:00.000,2021-02-14 14:31:34,Débora,Aprovado
213543912,7,Itabira,Minas Gerais,2021-03-04 09:00:00.000,2021-03-04 18:00:00,Fernando,Aprovado
232976701,3,Goiânia,Goiás,2021-06-12 16:39:09.687,2021-06-13 16:48:33,Débora,Aprovado
26753572,10,Cruzeiro do Sul,Acre,2021-04-15 13:10:57.457,2021-04-15 18:00:00,Fernando,Aprovado
29040923,1,Capanema,Paraná,2021-03-12 10:46:13.000,2021-03-13 09:20:21,Débora,Aprovado
29622425,4,Aracoiaba,Ceará,2021-01-24 12:33:44.207,2021-01-24 18:00:00,Fernando,Aprovado
33766904,6,Simões,Piauí,2020-12-18 17:40:28.107,2020-12-21 11:51:16,Débora,Aprovado
38324034,4,Birigüi,São Paulo,2020-11-15 17:09:06.453,2020-11-16 13:09:14,Débora,Aprovado
138450420,8,Douradina,Mato Grosso do Sul,2021-06-25 17:06:13.000,2021-06-26 17:05:25,Fernando,Aprovado
166141675,2,Ronda Alta,Rio Grande do Sul,2021-07-16 09:33:34.607,2021-07-17 17:25:39,Débora,Aprovado
23820772,8,Viana,Espírito Santo,2021-01-02 10:42:26.167,2021-01-03 12:17:41,Débora,Aprovado
25506886,9,Taboão da Serra,São Paulo,2020-12-14 09:59:07.447,2020-12-17 12:50:58,Débora,Aprovado
33151051,3,Recife,Pernambuco,2021-07-02 15:40:33.470,2021-07-05 10:37:49,Débora,Não Aprovado
41038660,1,Lavras,Minas Gerais,2021-07-11 16:47:09.063,2021-07-12 15:25:13,Débora,Aprovado
41542004,7,Jequié,Bahia,2021-05-15 11:25:46.850,2021-05-17 15:55:13,Débora,Aprovado
41897755,8,Rolândia,Paraná,2021-04-03 18:00:00.000,2021-04-08 10:32:23,Débora,Aprovado
42706141,6,Recife,Pernambuco,2021-07-09 18:00:00.000,2021-07-10 16:46:44,Débora,Aprovado
50481484,9,São José dos Campos,São Paulo,2021-03-12 11:25:50.000,2021-03-13 13:15:24,Débora,Aprovado
66041519,7,Uruguaiana,Rio Grande do Sul,2021-02-21 10:51:42.063,2021-02-21 17:48:55,Débora,Aprovado
121941025,2,Jandira,São Paulo,2021-05-22 11:56:31.657,2021-05-23 16:06:39,Débora,Aprovado
128249863,8,Rodeio,Santa Catarina,2021-04-11 17:13:35.177,2021-04-12 18:00:00,Fernando,Aprovado
166961602,9,Ipanema,Minas Gerais,2021-06-19 16:04:28.580,2021-06-20 14:53:36,Débora,Aprovado
208878382,8,Equador,Rio Grande do Norte,2021-06-24 18:00:00.000,2021-06-26 15:02:55,Fernando,Aprovado
215411265,3,Joinville,Santa Catarina,2020-11-20 11:15:24.663,2020-11-20 18:00:00,Débora,Aprovado
226491937,1,Aragoiânia,Goiás,2021-05-09 14:59:06.663,2021-05-10 12:07:56,Débora,Aprovado
28224252,4,Campinas,São Paulo,2021-06-27 16:47:21.917,2021-06-28 17:25:20,Débora,Aprovado
29721781,9,Ariquemes,Rondônia,2021-07-16 16:46:14.907,2021-07-18 10:41:38,Débora,Aprovado
35151121,6,Arapoema,Tocantins,2021-04-09 18:00:00.000,2021-04-10 17:26:01,Débora,Aprovado
39020444,7,Ponta Grossa,Paraná,2020-11-29 17:57:08.560,2020-11-30 18:00:00,Débora,Aprovado
42806008,6,Boa Vista,Roraima,2020-12-11 11:08:49.513,2020-12-12 10:57:56,Débora,Aprovado
43324872,2,Curitiba,Paraná,2021-04-08 09:52:30.117,2021-04-08 16:56:11,Fernando,Aprovado
136363420,8,Itaboraí,Rio de Janeiro,2020-11-12 15:49:44.987,2020-11-13 11:54:16,Manoel,Aprovado
171988119,6,Itabirito,Minas Gerais,2021-05-10 18:00:00.000,2021-05-14 17:34:04,Débora,Aprovado
36299171,9,Santo Antônio de Jesus,Bahia,2021-01-07 18:00:00.000,2021-01-08 13:54:58,Fernando,Aprovado
37215546,1,Piraju,São Paulo,2021-04-23 10:12:40.177,2021-04-25 11:49:04,Débora,Aprovado
44988437,9,Marabá,Pará,2021-01-29 13:22:37.550,2021-01-30 10:59:22,Débora,Aprovado
46190134,3,Sarzedo,Minas Gerais,2021-04-02 13:20:41.443,2021-04-04 09:53:47,Débora,Aprovado
47088914,5,Alvorada,Rio Grande do Sul,2020-11-21 18:00:00.000,2020-11-26 10:28:20,Débora,Aprovado
47807571,1,Canavieiras,Bahia,2021-06-10 13:43:32.603,2021-06-12 10:46:05,Débora,Aprovado
50503520,3,Belo Horizonte,Minas Gerais,2021-02-26 16:29:25.460,2021-02-27 14:33:07,Débora,Aprovado
60778734,3,Rio de Janeiro,Rio de Janeiro,2020-12-18 14:00:57.823,2020-12-20 11:46:37,Débora,Aprovado
180922101,10,Curitibanos,Santa Catarina,2021-05-15 14:48:26.723,2021-05-17 16:02:33,Débora,Aprovado
199481940,6,Itaperuna,Rio de Janeiro,2021-01-18 12:55:35.583,2021-01-18 18:00:00,Fernando,Aprovado
210993460,5,São João de Meriti,Rio de Janeiro,2021-04-22 09:00:00.000,2021-04-22 14:51:59,Fernando,Aprovado
233741096,5,Barra Mansa,Rio de Janeiro,2021-07-04 15:54:24.880,2021-07-08 17:38:31,Fernando,Aprovado
27252096,10,João Pessoa,Paraíba,2021-07-17 16:39:01.800,2021-07-18 11:47:42,Débora,Aprovado
30858831,6,São José de Mipibu,Rio Grande do Norte,2021-07-05 15:05:36.093,2021-07-08 16:25:41,Débora,Aprovado
31085731,3,Apiúna,Santa Catarina,2021-06-14 18:00:00.000,2021-06-17 18:00:00,Débora,Aprovado
37095030,3,Paraíso do Norte,Paraná,2021-04-17 14:13:04.723,2021-04-18 10:22:47,Débora,Aprovado
43067674,9,Piên,Paraná,2021-06-21 15:10:45.697,2021-06-24 16:59:56,Fernando,Aprovado
26359094,7,Riachinho,Minas Gerais,2021-04-18 15:21:21.087,2021-04-19 17:16:30,Fernando,Aprovado
35040983,10,Porto Velho,Rondônia,2021-03-15 16:55:09.687,2021-03-18 17:28:47,Débora,Aprovado
41566305,8,Mutum,Minas Gerais,2020-12-07 10:47:50.143,2020-12-07 18:00:00,Débora,Aprovado
49512023,9,Peixoto de Azevedo,Mato Grosso,2021-06-12 11:38:50.503,2021-06-13 16:00:43,Débora,Aprovado
57161454,5,Taió,Santa Catarina,2021-04-11 10:34:37.067,2021-04-12 10:07:19,Débora,Aprovado
191499525,7,Uberaba,Minas Gerais,2021-02-05 13:21:54.610,2021-02-07 10:10:58,Débora,Aprovado
25113677,2,Barra do Piraí,Rio de Janeiro,2021-05-06 18:00:00.000,2021-05-08 13:47:15,Débora,Aprovado
33679381,5,Santana do Livramento,Rio Grande do Sul,2021-02-06 11:16:05.313,2021-02-07 10:40:51,Débora,Aprovado
33777347,6,Patrocínio,Minas Gerais,2021-03-28 11:19:42.510,2021-03-29 12:22:52,Débora,Aprovado
38067366,4,Guaxupé,Minas Gerais,2021-05-01 15:40:01.680,2021-05-02 14:21:02,Débora,Aprovado
124203854,8,Fazenda Rio Grande,Paraná,2021-06-17 16:36:49.797,2021-06-18 17:14:35,Débora,Aprovado
140252636,8,Porto Velho,Rondônia,2021-01-31 18:00:00.000,2021-02-05 16:33:58,Débora,Aprovado
155271792,1,Lontra,Minas Gerais,2021-05-16 16:44:29.173,2021-05-17 18:00:00,Fernando,Aprovado
30590870,4,Nova Iguaçu,Rio de Janeiro,2021-01-18 17:19:14.953,2021-01-21 12:59:21,Débora,Aprovado
31772959,3,Itaipulândia,Paraná,2021-03-21 15:31:58.767,2021-03-22 13:18:22,Débora,Aprovado
32933021,5,Ariquemes,Rondônia,2021-02-07 18:00:00.000,2021-02-08 10:17:41,Débora,Aprovado
36224827,4,Vitória da Conquista,Bahia,2021-01-21 10:52:10.203,2021-01-24 13:37:42,Débora,Aprovado
40884910,3,Pereira Barreto,São Paulo,2021-01-17 14:17:35.420,2021-01-17 17:41:24,Fernando,Aprovado
44424229,6,Itajaí,Santa Catarina,2021-05-03 09:25:28.737,2021-05-06 10:14:46,Débora,Não Aprovado
179270375,7,Xapuri,Acre,2021-07-15 13:51:20.910,2021-07-16 14:07:59,Débora,Aprovado
128649467,7,Mossoró,Rio Grande do Norte,2021-06-26 14:48:58.000,2021-06-27 15:25:07,Fernando,Aprovado
133558948,10,Nacip Raydan,Minas Gerais,2021-02-25 16:26:21.267,2021-02-26 14:19:42,Fernando,Aprovado
142756261,3,Paulicéia,São Paulo,2021-01-08 18:00:00.000,2021-01-09 13:13:48,Fernando,Aprovado
157364366,3,Ponta Grossa,Paraná,2021-05-29 12:09:36.757,2021-05-30 16:27:42,Fernando,Aprovado
183346744,1,João Pessoa,Paraíba,2020-11-23 18:00:00.000,2020-11-26 14:51:46,Débora,Aprovado
224055206,8,Feira de Santana,Bahia,2021-04-09 10:40:48.633,2021-04-10 09:17:31,Débora,Aprovado
24961494,2,Itabira,Minas Gerais,2021-05-08 17:21:01.627,2021-05-09 13:50:54,Débora,Aprovado
33377240,9,Dourados,Mato Grosso do Sul,2021-04-19 09:16:01.083,2021-04-22 10:27:08,Débora,Aprovado
34371251,1,Macapá,Amapá,2020-11-28 17:19:26.727,2020-11-29 17:47:36,Débora,Aprovado
38124754,10,Mallet,Paraná,2021-05-22 15:39:40.287,2021-05-23 17:16:59,Débora,Aprovado
43211737,5,Floriano,Piauí,2021-07-02 11:26:50.280,2021-07-03 12:28:56,Débora,Aprovado
44764551,3,Rio de Janeiro,Rio de Janeiro,2020-12-20 11:35:43.557,2020-12-24 15:26:06,Fernando,Aprovado
45754438,6,General Salgado,São Paulo,2020-11-29 12:22:24.900,2020-11-30 18:00:00,Débora,Aprovado
46917850,6,Consolação,Minas Gerais,2021-04-12 15:16:56.077,2021-04-15 13:54:39,Débora,Aprovado
47804302,4,Monte Santo de Minas,Minas Gerais,2021-01-28 18:00:00.000,2021-01-29 14:50:40,Débora,Aprovado
48859800,10,Viçosa,Rio Grande do Norte,2021-07-09 12:38:52.303,2021-07-10 17:02:12,Débora,Aprovado
50421331,3,Ibertioga,Minas Gerais,2021-05-28 09:00:00.000,2021-05-29 11:11:26,Débora,Aprovado
194564698,8,Ametista do Sul,Rio Grande do Sul,2021-07-02 16:52:43.380,2021-07-12 16:23:29,Débora,Aprovado
206558398,4,Senador Guiomard,Acre,2021-05-31 13:52:22.303,2021-06-03 11:42:25,Fernando,Aprovado
233538093,4,Presidente Getúlio,Santa Catarina,2021-05-20 16:51:41.640,2021-05-21 17:25:28,Débora,Aprovado
234347493,3,Palmas,Tocantins,2021-04-23 14:59:24.853,2021-04-25 15:29:08,Débora,Aprovado
235865797,1,Araguari,Minas Gerais,2020-11-26 12:55:47.500,2020-11-27 15:44:45,Débora,Aprovado
25419268,2,Extremoz,Rio Grande do Norte,2020-12-18 13:51:17.657,2020-12-19 15:09:17,Fernando,Aprovado
27949717,2,Alvarães,Amazonas,2020-12-17 09:00:00.000,2020-12-19 15:02:47,Fernando,Aprovado
31343517,4,Porto Vera Cruz,Rio Grande do Sul,2021-06-20 10:02:37.803,2021-06-21 13:55:04,Débora,Aprovado
34306990,7,Tauá,Ceará,2021-03-27 13:54:55.537,2021-03-28 18:00:00,Fernando,Aprovado
40340306,8,Dourado,São Paulo,2021-06-10 15:17:23.190,2021-06-11 18:00:00,Débora,Aprovado
92528218,10,Manaus,Amazonas,2021-03-18 14:25:23.247,2021-03-19 09:54:06,Débora,Aprovado
200364977,5,Paranavaí,Paraná,2021-03-27 14:57:47.463,2021-03-28 15:18:38,Débora,Aprovado
25856092,6,Remígio,Paraíba,2021-04-04 15:31:28.793,2021-04-08 12:12:37,Débora,Aprovado
26447328,10,Palmas,Tocantins,2020-12-25 15:45:22.680,2020-12-26 17:02:47,Fernando,Aprovado
31937578,3,Cruzeiro do Sul,Acre,2021-04-19 16:43:52.833,2021-04-22 10:21:00,Débora,Aprovado
33960452,6,Cascavel,Paraná,2020-11-23 13:10:32.663,2020-11-26 11:13:30,Débora,Aprovado
38804508,6,Itapeva,São Paulo,2021-03-13 14:36:49.503,2021-03-14 13:32:36,Débora,Aprovado
41935261,8,Catas Altas,Minas Gerais,2021-04-15 12:09:19.963,2021-04-16 14:28:20,Débora,Aprovado
131684043,7,Jundiaí,São Paulo,2021-07-08 18:00:00.000,2021-07-10 18:00:00,Débora,Não Aprovado
149072050,1,Rio de Janeiro,Rio de Janeiro,2020-11-20 18:00:00.000,2020-11-21 17:51:54,Débora,Aprovado
218099304,2,Crato,Ceará,2021-05-13 18:00:00.000,2021-05-15 13:56:25,Débora,Aprovado
26876797,7,Montalvânia,Minas Gerais,2021-01-16 12:51:21.517,2021-01-17 13:26:56,Fernando,Aprovado
28198544,4,Itajubá,Minas Gerais,2021-02-20 15:46:05.840,2021-02-20 11:33:50,Débora,Aprovado
36934676,8,São José do Rio Preto,São Paulo,2021-04-26 15:02:05.837,2021-04-29 12:59:27,Débora,Aprovado
