Código do Cliente,Tipo de Negócio,Cidade,Estado,Solicitacao de Cadastro,Data de Conclusao da análise do time A,Status da Análise do Time A,Analista do time A
154361244,2,São Paulo,São Paulo,2020-12-25 13:36:23.260,2020-12-27 14:42:23,Suspeito,Marcos
25717769,5,Hortolândia,São Paulo,2021-01-22 16:52:34.703,2021-01-22 18:00:00,Suspeito,Marcos
37177679,5,Natal,Rio Grande do Norte,2021-07-18 15:47:57.933,2021-07-19 12:16:51,Suspeito,Maria
38642598,5,Satubinha,Maranhão,2020-12-31 12:44:13.323,2020-12-31 13:27:23,Suspeito,Marcos
46607181,10,Rio Verde,Goiás,2020-12-26 18:00:00.000,2020-12-27 09:00:00,Suspeito,Marina
40246914,7,São Paulo,São Paulo,2021-01-11 17:14:53.173,2021-01-11 18:00:00,Suspeito,Marcos
27784164,7,Manaus,Amazonas,2021-01-18 16:16:20.483,2021-01-18 17:17:20,Suspeito,Marcos
112824282,7,Volta Redonda,Rio de Janeiro,2021-01-22 13:00:19.767,2021-01-22 14:27:20,Suspeito,Marcos
43471627,8,Ceres,Goiás,2021-01-22 18:00:00.000,2021-01-23 09:16:04,Suspeito,Marina
96920630,7,Vila Velha,Espírito Santo,2021-01-09 12:46:42.490,2021-01-09 13:57:53,Suspeito,Marina
38771042,7,Barra do Corda,Maranhão,2020-12-20 18:00:00.000,2020-12-24 14:49:37,Suspeito,Vivian
41551948,2,Assis,São Paulo,2020-12-26 09:55:17.167,2020-12-26 14:15:28,Suspeito,Marina
54122226,2,Franca,São Paulo,2021-01-21 09:00:00.000,2021-01-21 09:49:27,Suspeito,Marcos
30966500,1,Santa Cruz do Sul,Rio Grande do Sul,2021-01-14 16:06:08.427,2021-01-14 16:19:42,Suspeito,Marcos
34610741,3,Patos de Minas,Minas Gerais,2021-01-11 10:31:56.443,2021-01-11 18:00:00,Suspeito,Marcos
36232865,9,Belo Horizonte,Minas Gerais,2021-01-25 17:34:08.527,2021-01-28 10:54:15,Suspeito,Marcos
40649555,7,Porto Real,Rio de Janeiro,2021-06-04 18:00:00.000,2021-06-05 14:57:24,Suspeito,Marcos
88379510,7,Recife,Pernambuco,2020-12-10 17:32:59.460,2020-12-11 14:08:04,Suspeito,Marina
24667235,3,João Pessoa,Paraíba,2021-06-26 18:00:00.000,2021-06-27 16:11:26,Suspeito,Maria
33297531,3,São Pedro do Sul,Rio Grande do Sul,2021-01-11 18:00:00.000,2021-01-14 14:34:41,Suspeito,Marina
34283530,7,Romaria,Minas Gerais,2021-02-14 13:53:50.800,2021-02-15 16:07:51,Suspeito,Marcos
43372201,7,Jacupiranga,São Paulo,2020-12-07 11:07:30.063,2020-12-10 10:45:23,Suspeito,Marina
44706667,2,Lauro de Freitas,Bahia,2021-06-12 11:55:55.517,2021-06-13 10:39:03,Suspeito,Marcos
47174537,3,Mossoró,Rio Grande do Norte,2020-11-22 10:16:37.023,2020-11-22 17:35:56,Suspeito,Paulo
83071249,10,Rio de Janeiro,Rio de Janeiro,2021-07-01 18:00:00.000,2021-07-02 18:00:00,Suspeito,Maria
85590487,2,Contagem,Minas Gerais,2021-02-26 15:42:20.633,2021-02-27 14:06:00,Suspeito,Marcos
94106054,2,Pau dos Ferros,Rio Grande do Norte,2021-05-23 15:24:50.087,2021-05-24 16:19:45,Suspeito,Fernanda
123840233,10,Caruaru,Pernambuco,2021-07-08 14:32:34.037,2021-07-09 11:47:42,Suspeito,Maria
196263845,3,Mogi das Cruzes,São Paulo,2021-01-21 09:00:00.000,2021-01-21 15:33:17,Suspeito,Marina
206908819,4,Maquiné,Rio Grande do Sul,2021-02-20 18:00:00.000,2021-02-21 16:15:30,Suspeito,Marcos
26288858,6,Icapuí,Ceará,2021-06-18 18:00:00.000,2021-06-19 18:00:00,Suspeito,Maria
29221557,9,Salgueiro,Pernambuco,2020-11-21 16:03:48.063,2020-11-22 18:00:00,Suspeito,Marina
30629821,3,Rio do Sul,Santa Catarina,2021-01-22 14:46:57.287,2021-01-23 09:08:19,Suspeito,Marina
36569748,6,Ariquemes,Rondônia,2021-04-19 09:46:32.860,2021-04-19 18:00:00,Suspeito,Fernanda
36765902,3,Parnamirim,Rio Grande do Norte,2021-06-24 14:44:12.460,2021-06-25 09:54:14,Suspeito,Maria
38520208,3,Faxinal,Paraná,2021-05-27 09:53:40.633,2021-05-27 17:36:50,Suspeito,Maria
44617327,1,Manaus,Amazonas,2021-02-27 16:37:19.913,2021-02-27 18:00:00,Suspeito,Marcos
45395826,8,Parauapebas,Pará,2021-04-04 16:00:02.800,2021-04-08 10:38:30,Suspeito,Marcos
49925178,10,Caririaçu,Ceará,2021-05-13 18:00:00.000,2021-05-14 17:53:11,Suspeito,Maria
155061849,3,Virmond,Paraná,2021-07-04 14:36:13.437,2021-07-05 11:40:20,Suspeito,Maria
177856864,3,Ituiutaba,Minas Gerais,2021-03-13 11:08:08.127,2021-03-13 17:32:29,Suspeito,Marcos
180468046,1,Tubarão,Santa Catarina,2021-07-15 09:28:07.820,2021-07-15 18:00:00,Suspeito,Maria
28144335,2,Vitória da Conquista,Bahia,2021-04-09 16:42:39.790,2021-04-10 11:36:46,Suspeito,Marcos
28559926,1,Campinas,São Paulo,2020-12-14 14:29:05.060,2020-12-17 18:00:00,Suspeito,Marina
32674515,9,Brasília,Distrito Federal,2020-12-20 11:02:40.440,2020-12-21 13:54:21,Suspeito,Vivian
35330762,2,Trombudo Central,Santa Catarina,2021-04-10 09:28:32.167,2021-04-10 17:30:18,Suspeito,Marcos
36206212,4,Presidente Getúlio,Santa Catarina,2021-04-09 09:49:07.607,2021-04-10 09:07:14,Suspeito,Marcos
36549792,4,Serra do Mel,Rio Grande do Norte,2020-12-03 15:39:13.390,2020-12-03 17:58:50,Suspeito,Marcos
43537157,3,Pinheiro Machado,Rio Grande do Sul,2021-03-14 17:18:06.870,2021-03-15 16:17:19,Suspeito,Marcos
47437456,1,Chapecó,Santa Catarina,2021-02-28 15:47:44.100,2021-03-01 09:00:00,Suspeito,Marcos
165451993,5,Manoel Ribas,Paraná,2021-01-08 13:41:20.550,2021-01-08 14:56:52,Suspeito,Marcos
171848732,3,Recife,Pernambuco,2020-11-20 18:00:00.000,2020-11-21 15:02:20,Suspeito,Marcos
231274512,9,Maringá,Paraná,2020-11-07 10:00:05.593,2020-11-07 17:51:41,Suspeito,Marina
31783611,5,São José de Ribamar,Maranhão,2021-04-26 17:43:11.377,2021-04-29 09:00:00,Suspeito,Fernanda
36127739,10,São Caetano do Sul,São Paulo,2021-05-06 18:00:00.000,2021-05-07 18:00:00,Suspeito,Fernanda
44218906,5,Carandaí,Minas Gerais,2021-05-22 09:17:25.393,2021-05-22 18:00:00,Suspeito,Maria
87540845,1,Rio de Janeiro,Rio de Janeiro,2020-11-20 18:00:00.000,2020-11-21 13:44:00,Suspeito,Marina
184229493,1,Ribeirão das Neves,Minas Gerais,2021-07-09 09:56:31.283,2021-07-10 09:00:00,Suspeito,Maria
196475045,5,Itupeva,São Paulo,2021-02-21 17:23:45.717,2021-02-22 09:49:43,Suspeito,Marcos
234865843,8,Caieiras,São Paulo,2021-04-19 14:22:48.490,2021-04-22 09:00:00,Suspeito,Fernanda
26383858,9,Tupanatinga,Pernambuco,2021-04-03 18:00:00.000,2021-04-08 09:00:00,Suspeito,Fernanda
38142597,3,Cuiabá,Mato Grosso,2021-06-20 18:00:00.000,2021-06-21 18:00:00,Suspeito,Maria
42848967,8,Macapá,Amapá,2021-01-08 16:23:09.963,2021-01-08 18:00:00,Suspeito,Marcos
43123299,9,Touros,Rio Grande do Norte,2021-04-02 10:30:29.850,2021-04-02 18:00:00,Suspeito,Joao
64210701,8,Campina Grande,Paraíba,2020-11-29 10:21:52.437,2020-11-29 17:48:22,Suspeito,Marcos
71145272,2,João Pessoa,Paraíba,2021-04-15 16:56:05.727,2021-04-15 18:00:00,Suspeito,Fernanda
191430498,5,Salvador,Bahia,2021-01-01 09:00:00.000,2021-01-01 11:31:57,Suspeito,Marina
206639175,3,Ariranha do Ivaí,Paraná,2020-12-25 11:32:49.787,2020-12-26 15:38:17,Suspeito,Marina
216801678,9,Recife,Pernambuco,2021-04-19 14:52:46.190,2021-04-22 09:00:00,Suspeito,Fernanda
219606542,8,Tietê,São Paulo,2020-11-21 18:00:00.000,2020-11-22 16:29:54,Suspeito,Marcos
27563260,3,Porto Seguro,Bahia,2021-02-26 15:06:46.017,2021-02-26 17:38:41,Suspeito,Marcos
27760423,5,Volta Redonda,Rio de Janeiro,2021-01-09 18:00:00.000,2021-01-10 16:21:23,Suspeito,Marina
29176371,9,Cajamar,São Paulo,2021-02-01 18:00:00.000,2021-02-04 16:13:43,Suspeito,Marcos
31168943,7,Carapebus,Rio de Janeiro,2021-07-12 12:33:59.363,2021-07-15 11:12:07,Suspeito,Maria
34246951,7,Pomerode,Santa Catarina,2021-04-11 16:59:49.840,2021-04-12 14:19:51,Suspeito,Marcos
35491489,8,Mossoró,Rio Grande do Norte,2021-04-19 15:14:52.120,2021-04-22 09:00:00,Suspeito,Fernanda
36752614,7,Nilópolis,Rio de Janeiro,2021-07-02 14:58:08.230,2021-07-03 11:57:51,Suspeito,Maria
37697885,9,Aracaju,Sergipe,2020-11-19 16:58:16.310,2020-11-20 15:14:04,Suspeito,Marina
41386384,9,Mamborê,Paraná,2021-04-26 15:02:08.493,2021-04-29 09:00:00,Suspeito,Fernanda
42180081,3,Fortaleza,Ceará,2021-05-14 13:25:38.060,2021-05-15 10:35:31,Suspeito,Marcos
43223096,3,Mira Estrela,São Paulo,2020-12-13 11:29:57.850,,EM FILA,
44208708,10,Nova Iguaçu,Rio de Janeiro,2021-01-28 18:00:00.000,2021-01-29 13:54:35,Suspeito,Marcos
45474910,6,Capanema,Pará,2020-11-09 14:52:39.933,2020-11-12 09:00:00,Suspeito,Marina
45480642,6,Tanguá,Rio de Janeiro,2021-01-01 09:27:40.723,2021-01-01 12:09:11,Suspeito,Marcos
46861044,3,São Gotardo,Minas Gerais,2021-03-29 09:49:51.277,2021-03-29 16:32:28,Suspeito,Marcos
48920668,3,Parauapebas,Pará,2021-03-28 13:48:24.153,2021-03-29 09:37:28,Suspeito,Fernanda
69621208,9,São Francisco,Sergipe,2021-03-25 18:00:00.000,2021-03-27 10:19:41,Suspeito,Marcos
133778883,10,Senador Amaral,Minas Gerais,2021-04-30 16:51:22.690,2021-05-01 15:59:12,Suspeito,Fernanda
141614022,7,Curitiba,Paraná,2021-03-21 18:00:00.000,2021-03-25 09:00:00,Suspeito,Marcos
147522790,5,Colatina,Espírito Santo,2021-07-05 16:05:51.193,2021-07-08 14:12:51,Suspeito,Maria
178240645,6,Lagoa D'Anta,Rio Grande do Norte,2021-05-03 11:14:44.557,2021-05-03 18:00:00,Suspeito,Fernanda
27911642,1,Almenara,Minas Gerais,2021-05-30 10:45:46.777,2021-05-30 18:00:00,Suspeito,Maria
28702500,2,Água Doce do Norte,Espírito Santo,2020-12-20 09:27:59.533,2020-12-24 09:00:00,Suspeito,Marina
32575159,6,Ilhéus,Bahia,2020-11-19 15:27:20.003,2020-11-20 14:48:51,Suspeito,Marcos
34577621,4,Canaã dos Carajás,Pará,2021-06-17 09:00:00.000,2021-06-17 18:00:00,Suspeito,Maria
41183888,2,Peritoró,Maranhão,2021-03-12 18:00:00.000,2021-03-13 15:54:42,Suspeito,Marcos
44136853,9,Caruaru,Pernambuco,2021-01-08 17:01:31.493,2021-01-09 14:05:10,Suspeito,Marcos
44356766,10,Itaporanga,São Paulo,2020-12-07 18:00:00.000,2020-12-10 14:23:55,Suspeito,Marcos
44737782,8,João Pessoa,Paraíba,2021-04-15 18:00:00.000,2021-04-16 17:16:09,Suspeito,Marcos
45860479,9,Macapá,Amapá,2021-04-11 18:00:00.000,2021-04-15 09:00:00,Suspeito,Joao
48524174,5,Cantagalo,Paraná,2021-05-24 18:00:00.000,2021-05-27 11:13:55,Suspeito,Maria
114889212,5,Santa Bárbara do Pará,Pará,2021-01-08 18:00:00.000,2021-01-09 13:53:34,Suspeito,Marcos
143618449,9,Leme,São Paulo,2021-05-24 11:08:37.190,2021-05-27 09:00:00,Suspeito,Fernanda
30467088,4,Teixeira de Freitas,Bahia,2021-04-29 09:53:06.953,2021-04-29 18:00:00,Suspeito,Fernanda
31199648,9,Santo Antônio do Amparo,Minas Gerais,2021-07-10 14:06:21.353,2021-07-11 10:55:06,Suspeito,Maria
33784501,6,Manaus,Amazonas,2020-12-20 18:00:00.000,2020-12-24 17:23:51,Suspeito,Marina
38653439,9,Irati,Paraná,2020-12-14 10:41:32.360,2020-12-17 14:26:45,Suspeito,Marcos
41730911,9,Porto Alegre,Rio Grande do Sul,2021-02-13 18:00:00.000,2021-02-14 12:01:30,Suspeito,Marcos
213543912,5,Itabira,Minas Gerais,2021-03-04 09:00:00.000,2021-03-04 17:39:45,Suspeito,Marcos
232976701,6,Goiânia,Goiás,2021-06-12 16:39:09.687,2021-06-13 16:06:58,Suspeito,Maria
26753572,3,Cruzeiro do Sul,Acre,2021-04-15 13:10:57.457,2021-04-15 17:27:36,Suspeito,Marcos
29040923,1,Capanema,Paraná,2021-03-12 10:46:13.000,2021-03-12 17:37:13,Suspeito,Marcos
29622425,6,Aracoiaba,Ceará,2021-01-24 12:33:44.207,2021-01-24 17:38:35,Suspeito,Marcos
33766904,3,Simões,Piauí,2020-12-18 17:40:28.107,2020-12-21 09:00:00,Suspeito,Marina
38324034,1,Birigüi,São Paulo,2020-11-15 17:09:06.453,2020-11-16 10:01:38,Suspeito,Marcos
138450420,8,Douradina,Mato Grosso do Sul,2021-06-25 17:06:13.000,2021-06-26 16:50:36,Suspeito,Maria
166141675,6,Ronda Alta,Rio Grande do Sul,2021-07-16 09:33:34.607,2021-07-16 18:00:00,Suspeito,Maria
23820772,2,Viana,Espírito Santo,2021-01-02 10:42:26.167,2021-01-02 18:00:00,Suspeito,Marina
25506886,8,Taboão da Serra,São Paulo,2020-12-14 09:59:07.447,2020-12-17 12:43:54,Suspeito,Marcos
33151051,1,Recife,Pernambuco,2021-07-02 15:40:33.470,2021-07-03 14:45:25,Suspeito,Maria
41038660,9,Lavras,Minas Gerais,2021-07-11 16:47:09.063,2021-07-12 09:32:15,Suspeito,Marcos
41542004,2,Jequié,Bahia,2021-05-15 11:25:46.850,2021-05-16 11:08:23,Suspeito,Maria
41897755,1,Rolândia,Paraná,2021-04-03 18:00:00.000,2021-04-08 09:15:13,Suspeito,Joao
42706141,5,Recife,Pernambuco,2021-07-09 18:00:00.000,2021-07-10 15:22:46,Suspeito,Maria
50481484,7,São José dos Campos,São Paulo,2021-03-12 11:25:50.000,2021-03-13 10:06:53,Suspeito,Marcos
66041519,2,Uruguaiana,Rio Grande do Sul,2021-02-21 10:51:42.063,2021-02-21 17:35:59,Suspeito,Marina
121941025,4,Jandira,São Paulo,2021-05-22 11:56:31.657,2021-05-23 11:52:25,Suspeito,Maria
128249863,6,Rodeio,Santa Catarina,2021-04-11 17:13:35.177,2021-04-12 14:48:23,Suspeito,Marcos
166961602,2,Ipanema,Minas Gerais,2021-06-19 16:04:28.580,2021-06-19 18:00:00,Suspeito,Marcos
208878382,4,Equador,Rio Grande do Norte,2021-06-24 18:00:00.000,2021-06-26 09:00:00,Suspeito,Maria
215411265,3,Joinville,Santa Catarina,2020-11-20 11:15:24.663,2020-11-20 17:52:16,Suspeito,Marcos
226491937,6,Aragoiânia,Goiás,2021-05-09 14:59:06.663,2021-05-09 16:05:59,Suspeito,Marcos
28224252,9,Campinas,São Paulo,2021-06-27 16:47:21.917,2021-06-28 16:14:59,Suspeito,Maria
29721781,2,Ariquemes,Rondônia,2021-07-16 16:46:14.907,2021-07-17 16:35:12,Suspeito,Maria
35151121,4,Arapoema,Tocantins,2021-04-09 18:00:00.000,2021-04-10 15:23:55,Suspeito,Marcos
39020444,1,Ponta Grossa,Paraná,2020-11-29 17:57:08.560,2020-11-30 14:52:27,Suspeito,Marcos
42806008,6,Boa Vista,Roraima,2020-12-11 11:08:49.513,2020-12-12 10:29:21,Suspeito,Marina
43324872,4,Curitiba,Paraná,2021-04-08 09:52:30.117,2021-04-08 15:24:21,Suspeito,Marcos
136363420,8,Itaboraí,Rio de Janeiro,2020-11-12 15:49:44.987,2020-11-12 18:00:00,Suspeito,Marina
171988119,7,Itabirito,Minas Gerais,2021-05-10 18:00:00.000,2021-05-13 17:33:06,Suspeito,Maria
36299171,2,Santo Antônio de Jesus,Bahia,2021-01-07 18:00:00.000,2021-01-08 10:15:44,Suspeito,Marcos
37215546,9,Piraju,São Paulo,2021-04-23 10:12:40.177,2021-04-23 18:00:00,Suspeito,Fernanda
44988437,2,Marabá,Pará,2021-01-29 13:22:37.550,2021-01-30 10:52:09,Suspeito,Marcos
46190134,9,Sarzedo,Minas Gerais,2021-04-02 13:20:41.443,2021-04-03 17:16:33,Suspeito,Marcos
47088914,5,Alvorada,Rio Grande do Sul,2020-11-21 18:00:00.000,2020-11-22 15:25:16,Suspeito,Paulo
47807571,2,Canavieiras,Bahia,2021-06-10 13:43:32.603,2021-06-11 12:40:05,Suspeito,Maria
50503520,7,Belo Horizonte,Minas Gerais,2021-02-26 16:29:25.460,2021-02-27 14:15:57,Suspeito,Marcos
60778734,3,Rio de Janeiro,Rio de Janeiro,2020-12-18 14:00:57.823,2020-12-20 10:51:54,Suspeito,Marina
180922101,4,Curitibanos,Santa Catarina,2021-05-15 14:48:26.723,2021-05-16 14:40:10,Suspeito,Maria
199481940,2,Itaperuna,Rio de Janeiro,2021-01-18 12:55:35.583,2021-01-18 18:00:00,Suspeito,Marina
210993460,6,São João de Meriti,Rio de Janeiro,2021-04-22 09:00:00.000,2021-04-22 12:33:57,Suspeito,Fernanda
233741096,4,Barra Mansa,Rio de Janeiro,2021-07-04 15:54:24.880,2021-07-05 14:25:05,Suspeito,Maria
27252096,8,João Pessoa,Paraíba,2021-07-17 16:39:01.800,2021-07-17 18:00:00,Suspeito,Maria
30858831,8,São José de Mipibu,Rio Grande do Norte,2021-07-05 15:05:36.093,2021-07-08 12:13:54,Suspeito,Maria
31085731,8,Apiúna,Santa Catarina,2021-06-14 18:00:00.000,2021-06-17 18:00:00,Suspeito,Maria
37095030,8,Paraíso do Norte,Paraná,2021-04-17 14:13:04.723,2021-04-18 09:00:00,Suspeito,Fernanda
43067674,4,Piên,Paraná,2021-06-21 15:10:45.697,2021-06-24 12:41:33,Suspeito,Maria
26359094,2,Riachinho,Minas Gerais,2021-04-18 15:21:21.087,2021-04-19 16:47:23,Suspeito,Fernanda
35040983,9,Porto Velho,Rondônia,2021-03-15 16:55:09.687,2021-03-18 15:31:58,Suspeito,Marina
41566305,7,Mutum,Minas Gerais,2020-12-07 10:47:50.143,2020-12-07 17:54:00,Suspeito,Marcos
49512023,9,Peixoto de Azevedo,Mato Grosso,2021-06-12 11:38:50.503,2021-06-13 10:16:15,Suspeito,Marcos
57161454,5,Taió,Santa Catarina,2021-04-11 10:34:37.067,2021-04-11 18:00:00,Suspeito,Marcos
191499525,1,Uberaba,Minas Gerais,2021-02-05 13:21:54.610,2021-02-06 17:43:44,Suspeito,Marina
25113677,7,Barra do Piraí,Rio de Janeiro,2021-05-06 18:00:00.000,2021-05-07 18:00:00,Suspeito,Fernanda
33679381,1,Santana do Livramento,Rio Grande do Sul,2021-02-06 11:16:05.313,2021-02-06 18:00:00,Suspeito,Marcos
33777347,5,Patrocínio,Minas Gerais,2021-03-28 11:19:42.510,2021-03-29 09:51:01,Suspeito,Marcos
38067366,1,Guaxupé,Minas Gerais,2021-05-01 15:40:01.680,2021-05-01 18:00:00,Suspeito,Fernanda
124203854,3,Fazenda Rio Grande,Paraná,2021-06-17 16:36:49.797,2021-06-18 16:01:34,Suspeito,Maria
140252636,1,Porto Velho,Rondônia,2021-01-31 18:00:00.000,2021-02-01 16:15:31,Suspeito,Marcos
155271792,6,Lontra,Minas Gerais,2021-05-16 16:44:29.173,2021-05-17 16:36:17,Suspeito,Maria
30590870,8,Nova Iguaçu,Rio de Janeiro,2021-01-18 17:19:14.953,2021-01-21 12:23:38,Suspeito,Marcos
31772959,7,Itaipulândia,Paraná,2021-03-21 15:31:58.767,2021-03-22 12:00:02,Suspeito,Marcos
32933021,9,Ariquemes,Rondônia,2021-02-07 18:00:00.000,2021-02-08 09:35:44,Suspeito,Marcos
36224827,8,Vitória da Conquista,Bahia,2021-01-21 10:52:10.203,2021-01-24 12:27:45,Suspeito,Marcos
40884910,1,Pereira Barreto,São Paulo,2021-01-17 14:17:35.420,2021-01-17 17:34:11,Suspeito,Marcos
44424229,4,Itajaí,Santa Catarina,2021-05-03 09:25:28.737,2021-05-03 17:26:28,Suspeito,Fernanda
179270375,7,Xapuri,Acre,2021-07-15 13:51:20.910,2021-07-16 10:59:57,Suspeito,Maria
128649467,7,Mossoró,Rio Grande do Norte,2021-06-26 14:48:58.000,2021-06-27 12:46:05,Suspeito,Maria
133558948,9,Nacip Raydan,Minas Gerais,2021-02-25 16:26:21.267,2021-02-26 11:27:45,Suspeito,Marcos
142756261,2,Paulicéia,São Paulo,2021-01-08 18:00:00.000,2021-01-09 10:40:01,Suspeito,Marcos
157364366,9,Ponta Grossa,Paraná,2021-05-29 12:09:36.757,2021-05-30 10:24:33,Suspeito,Maria
183346744,3,João Pessoa,Paraíba,2020-11-23 18:00:00.000,2020-11-26 14:10:00,Suspeito,Marina
224055206,9,Feira de Santana,Bahia,2021-04-09 10:40:48.633,2021-04-10 09:00:00,Suspeito,Fernanda
24961494,3,Itabira,Minas Gerais,2021-05-08 17:21:01.627,2021-05-09 12:28:13,Suspeito,Marcos
33377240,8,Dourados,Mato Grosso do Sul,2021-04-19 09:16:01.083,2021-04-22 09:00:00,Suspeito,Fernanda
34371251,8,Macapá,Amapá,2020-11-28 17:19:26.727,2020-11-29 15:12:15,Suspeito,Marcos
38124754,6,Mallet,Paraná,2021-05-22 15:39:40.287,2021-05-23 15:23:56,Suspeito,Maria
43211737,10,Floriano,Piauí,2021-07-02 11:26:50.280,2021-07-03 11:11:13,Suspeito,Maria
44764551,2,Rio de Janeiro,Rio de Janeiro,2020-12-20 11:35:43.557,2020-12-24 14:00:58,Suspeito,Marina
45754438,1,General Salgado,São Paulo,2020-11-29 12:22:24.900,2020-11-30 11:55:10,Suspeito,Marcos
46917850,3,Consolação,Minas Gerais,2021-04-12 15:16:56.077,2021-04-15 09:00:00,Suspeito,Fernanda
47804302,6,Monte Santo de Minas,Minas Gerais,2021-01-28 18:00:00.000,2021-01-29 13:13:49,Suspeito,Marcos
48859800,3,Viçosa,Rio Grande do Norte,2021-07-09 12:38:52.303,2021-07-10 11:55:39,Suspeito,Maria
50421331,5,Ibertioga,Minas Gerais,2021-05-28 09:00:00.000,2021-05-28 18:00:00,Suspeito,Maria
194564698,2,Ametista do Sul,Rio Grande do Sul,2021-07-02 16:52:43.380,2021-07-03 12:52:38,Suspeito,Maria
206558398,6,Senador Guiomard,Acre,2021-05-31 13:52:22.303,2021-06-03 10:07:07,Suspeito,Maria
233538093,6,Presidente Getúlio,Santa Catarina,2021-05-20 16:51:41.640,2021-05-21 16:33:46,Suspeito,Maria
234347493,1,Palmas,Tocantins,2021-04-23 14:59:24.853,2021-04-26 09:00:00,Suspeito,Fernanda
235865797,4,Araguari,Minas Gerais,2020-11-26 12:55:47.500,2020-11-27 09:38:17,Suspeito,Marcos
25419268,3,Extremoz,Rio Grande do Norte,2020-12-18 13:51:17.657,2020-12-19 12:38:41,Suspeito,Marcos
27949717,6,Alvarães,Amazonas,2020-12-17 09:00:00.000,2020-12-19 12:18:22,Suspeito,Marina
31343517,4,Porto Vera Cruz,Rio Grande do Sul,2021-06-20 10:02:37.803,2021-06-21 09:28:44,Suspeito,Maria
34306990,1,Tauá,Ceará,2021-03-27 13:54:55.537,2021-03-28 11:55:17,Suspeito,Marcos
40340306,7,Dourado,São Paulo,2021-06-10 15:17:23.190,2021-06-11 14:35:21,Suspeito,Maria
92528218,5,Manaus,Amazonas,2021-03-18 14:25:23.247,2021-03-19 09:16:12,Suspeito,Marcos
