,IDCliente,Produto Alacarte,Churn,NPS,Média desconto fatura 3M
76,77,MAX,Não,Neutro,11.37
77,78,Prime,Sim,Promotor,20.21
78,79,Globoplay,Não,Promotor,11.84
79,80,Disney,Sim,Neutro,24.94
80,81,Prime,Sim,Detrator,10.97
81,82,Netflix,Sim,Detrator,16.58
82,83,Disney,Não,Promotor,25.6
83,84,Disney,Não,Promotor,24.94
84,85,Disney,Sim,Promotor,21.63
85,86,Netflix,Não,Promotor,16.6
86,87,Netflix,Não,Neutro,24.32
87,88,Prime,Não,Promotor,10.74
88,89,Disney,Não,Neutro,20.93
89,90,MAX,Não,Detrator,18.76
90,91,Prime,Sim,Neutro,15.88
91,92,MAX,Não,Detrator,29.16
92,93,Netflix,Sim,Neutro,10.67
93,94,Disney,Não,Promotor,26.17
94,95,Netflix,Não,Detrator,12.0
95,96,Netflix,Sim,Neutro,22.94
96,97,Globoplay,Não,Detrator,23.13
97,98,Netflix,Não,Neutro,17.6
98,99,Netflix,Não,Promotor,24.91
99,100,MAX,Não,Promotor,11.88
100,101,Netflix,Não,Neutro,25.48
101,102,Prime,Sim,Detrator,20.94
102,103,MAX,Sim,Neutro,10.37
103,104,MAX,Não,Promotor,15.35
104,105,MAX,Não,Promotor,29.92
105,106,Globoplay,Não,Promotor,29.91
106,107,Prime,Não,Promotor,24.3
107,108,MAX,Não,Detrator,20.94
108,109,Prime,Não,Promotor,26.19
109,110,Prime,Não,Promotor,10.17
110,111,Disney,Não,Promotor,19.27
111,112,Netflix,Sim,Detrator,18.01
112,113,Prime,Não,Promotor,29.36
113,114,MAX,Não,Detrator,15.98
114,115,Netflix,Sim,Detrator,27.59
115,116,Netflix,Não,Promotor,25.78
116,117,Prime,Não,Detrator,26.42
117,118,Netflix,Sim,Neutro,25.09
118,119,Prime,Não,Neutro,18.58
119,120,Disney,Não,Promotor,26.45
120,121,MAX,Não,Neutro,19.45
121,122,Globoplay,Não,Neutro,16.42
122,123,Globoplay,Não,Promotor,10.15
123,124,Disney,Sim,Promotor,22.69
124,125,Netflix,Não,Detrator,17.48
125,126,Netflix,Não,Detrator,19.69
126,127,Netflix,Não,Promotor,24.16
127,128,Netflix,Não,Detrator,29.58
128,129,Disney,Sim,Promotor,24.76
129,130,MAX,Não,Neutro,13.39
130,131,Globoplay,Não,Promotor,28.89
131,132,Prime,Não,Promotor,26.25
132,133,Disney,Sim,Promotor,16.6
133,134,MAX,Sim,Detrator,19.06
134,135,Globoplay,Não,Promotor,26.2
135,136,Globoplay,Sim,Promotor,10.04
136,137,MAX,Não,Detrator,12.21
137,138,MAX,Não,Neutro,20.99
138,139,MAX,Não,Promotor,16.7
139,140,Netflix,Sim,Neutro,15.01
140,141,Disney,Sim,Promotor,27.79
141,142,Globoplay,Não,Promotor,22.98
142,143,MAX,Sim,Promotor,28.95
143,144,Disney,Sim,Promotor,10.44
144,145,Prime,Sim,Promotor,27.95
145,146,Netflix,Não,Promotor,12.36
146,147,Globoplay,Não,Promotor,22.56
147,148,MAX,Sim,Detrator,19.32
148,149,Prime,Não,Promotor,11.77
149,150,MAX,Não,Promotor,26.92
150,151,Globoplay,Não,Detrator,25.1
151,152,Netflix,Sim,Neutro,26.7
152,153,Disney,Sim,Promotor,17.1
153,154,Globoplay,Não,Promotor,21.53
154,155,Prime,Sim,Detrator,22.59
155,156,MAX,Não,Neutro,11.23
156,157,Prime,Não,Neutro,18.13
157,158,Netflix,Não,Promotor,14.49
158,159,MAX,Não,Neutro,16.59
159,160,Prime,Sim,Promotor,28.92
160,161,Globoplay,Não,Promotor,18.04
161,162,Prime,Não,Neutro,19.58
162,163,Prime,Não,Promotor,13.86
163,164,MAX,Não,Promotor,23.94
164,165,Netflix,Não,Promotor,26.61
165,166,Prime,Sim,Promotor,16.63
166,167,MAX,Não,Neutro,17.17
167,168,Prime,Não,Neutro,11.74
168,169,Netflix,Não,Neutro,19.96
169,170,Netflix,Não,Neutro,27.32
170,171,Prime,Não,Neutro,29.44
171,172,Prime,Sim,Promotor,29.13
172,173,MAX,Não,Promotor,20.38
173,174,MAX,Não,Neutro,23.96
174,175,Netflix,Não,Detrator,19.79
175,176,Prime,Não,Detrator,28.91
176,177,Prime,Sim,Promotor,25.17
177,178,Disney,Não,Promotor,23.45
178,179,MAX,Sim,Neutro,26.91
179,180,Disney,Sim,Promotor,22.01
180,181,Disney,Não,Detrator,16.96
181,182,MAX,Não,Promotor,11.61
182,183,Globoplay,Não,Promotor,29.77
183,184,MAX,Sim,Detrator,29.57
184,185,MAX,Sim,Detrator,14.12
185,186,Netflix,Não,Detrator,13.64
186,187,MAX,Não,Promotor,26.17
187,188,MAX,Não,Neutro,17.19
188,189,MAX,Sim,Detrator,18.52
189,190,Prime,Sim,Neutro,24.33
190,191,Netflix,Não,Promotor,10.8
191,192,Prime,Sim,Detrator,22.99
192,193,Disney,Sim,Promotor,21.17
193,194,Disney,Não,Promotor,17.33
194,195,Netflix,Sim,Neutro,17.44
195,196,Prime,Não,Promotor,26.43
196,197,Disney,Sim,Promotor,17.21
197,198,Netflix,Não,Promotor,23.77
198,199,Prime,Não,Detrator,12.29
199,200,Netflix,Sim,Neutro,15.52
200,201,Disney,Não,Detrator,11.63
201,202,MAX,Não,Promotor,29.09
202,203,Globoplay,Sim,Neutro,11.38
203,204,Netflix,Não,Promotor,26.63
204,205,Globoplay,Não,Promotor,15.62
205,206,Prime,Não,Promotor,21.86
206,207,Disney,Não,Detrator,21.81
207,208,Globoplay,Não,Promotor,11.34
208,209,Prime,Não,Neutro,29.66
209,210,Disney,Sim,Promotor,26.14
210,211,Netflix,Não,Promotor,25.38
211,212,Netflix,Não,Detrator,24.94
212,213,Disney,Não,Promotor,27.81
213,214,Disney,Não,Detrator,21.32
214,215,Netflix,Não,Neutro,25.47
215,216,Prime,Não,Neutro,29.83
216,217,MAX,Não,Neutro,15.59
217,218,MAX,Não,Promotor,21.19
218,219,Disney,Sim,Neutro,28.91
219,220,MAX,Sim,Neutro,13.64
220,221,Netflix,Não,Promotor,22.44
221,222,Disney,Sim,Promotor,18.03
222,223,Netflix,Não,Promotor,11.85
223,224,MAX,Não,Detrator,24.81
224,225,MAX,Não,Promotor,25.16
225,226,Prime,Sim,Detrator,28.06
226,227,MAX,Não,Detrator,25.44
227,228,Globoplay,Não,Detrator,16.24
228,229,MAX,Não,Detrator,20.16
229,230,Prime,Não,Detrator,14.03
230,231,Globoplay,Não,Neutro,13.17
231,232,Globoplay,Sim,Detrator,16.64
232,233,Disney,Não,Promotor,19.99
233,234,Disney,Sim,Neutro,15.32
234,235,MAX,Sim,Promotor,16.01
235,236,Netflix,Sim,Promotor,26.71
236,237,Globoplay,Sim,Neutro,12.03
237,238,Netflix,Não,Promotor,20.83
238,239,Netflix,Sim,Promotor,16.04
239,240,Netflix,Não,Promotor,17.49
240,241,Globoplay,Sim,Neutro,25.29
241,242,MAX,Não,Detrator,21.9
242,243,Disney,Não,Promotor,22.95
243,244,Disney,Não,Detrator,23.93
244,245,Netflix,Não,Detrator,28.15
245,246,MAX,Sim,Neutro,12.41
246,247,Disney,Não,Promotor,22.04
247,248,Disney,Sim,Neutro,28.73
248,249,MAX,Não,Neutro,18.76
249,250,Netflix,Sim,Neutro,13.23
250,251,Disney,Sim,Detrator,12.19
251,252,MAX,Sim,Promotor,17.61
252,253,Netflix,Sim,Neutro,27.13
253,254,Netflix,Não,Detrator,10.87
254,255,Prime,Não,Promotor,15.26
255,256,MAX,Sim,Neutro,20.42
256,257,Disney,Não,Promotor,28.51
257,258,Netflix,Não,Neutro,13.97
258,259,MAX,Sim,Promotor,29.21
259,260,Globoplay,Sim,Detrator,28.59
260,261,Disney,Não,Detrator,28.82
261,262,Prime,Não,Promotor,11.59
262,263,Disney,Não,Promotor,10.38
263,264,Disney,Não,Promotor,23.15
264,265,MAX,Não,Promotor,25.82
265,266,Disney,Não,Neutro,15.41
266,267,Disney,Não,Detrator,14.97
267,268,Disney,Não,Detrator,26.64
268,269,Globoplay,Não,Promotor,25.58
269,270,Netflix,Sim,Promotor,10.07
270,271,Prime,Não,Promotor,20.47
271,272,MAX,Não,Promotor,23.39
272,273,Prime,Sim,Promotor,25.08
273,274,Prime,Não,Promotor,24.31
274,275,Disney,Sim,Promotor,11.27
275,276,Globoplay,Não,Neutro,16.0
276,277,Globoplay,Não,Promotor,26.23
277,278,Netflix,Não,Detrator,29.77
278,279,Prime,Não,Neutro,29.86
279,280,Netflix,Não,Promotor,16.4
280,281,Netflix,Não,Promotor,27.15
281,282,MAX,Sim,Promotor,14.2
282,283,Globoplay,Sim,Promotor,15.29
283,284,Disney,Sim,Neutro,17.41
284,285,Disney,Não,Detrator,16.34
285,286,Netflix,Não,Promotor,26.95
286,287,Disney,Não,Promotor,26.59
287,288,Globoplay,Sim,Promotor,14.38
288,289,MAX,Não,Promotor,19.36
289,290,Netflix,Não,Neutro,19.72
290,291,Disney,Não,Detrator,11.68
291,292,MAX,Não,Promotor,24.79
292,293,Netflix,Não,Neutro,16.38
293,294,Disney,Não,Detrator,25.48
294,295,Disney,Não,Neutro,17.45
295,296,Globoplay,Não,Detrator,23.35
296,297,Prime,Não,Detrator,16.97
297,298,Prime,Sim,Promotor,17.97
298,299,Prime,Sim,Neutro,27.36
299,300,Prime,Não,Promotor,20.3
300,301,MAX,Sim,Promotor,28.51
301,302,Netflix,Não,Neutro,24.03
302,303,Disney,Sim,Detrator,19.22
303,304,Disney,Não,Detrator,12.73
304,305,Globoplay,Não,Neutro,12.77
305,306,Prime,Sim,Promotor,16.37
306,307,MAX,Não,Promotor,20.01
307,308,Globoplay,Sim,Promotor,12.85
308,309,MAX,Não,Promotor,24.93
309,310,Globoplay,Não,Promotor,17.8
310,311,Netflix,Não,Promotor,18.82
311,312,MAX,Não,Detrator,29.41
312,313,Disney,Não,Detrator,27.4
313,314,Netflix,Não,Neutro,19.78
314,315,MAX,Não,Neutro,21.63
315,316,Prime,Não,Detrator,20.91
316,317,Netflix,Sim,Promotor,14.42
317,318,Globoplay,Não,Promotor,27.56
318,319,MAX,Sim,Detrator,16.11
319,320,Prime,Não,Neutro,20.46
320,321,MAX,Sim,Promotor,26.71
321,322,Globoplay,Não,Promotor,16.27
322,323,Disney,Não,Promotor,28.69
323,324,MAX,Não,Promotor,25.8
324,325,Prime,Sim,Neutro,24.59
325,326,Netflix,Sim,Promotor,17.45
326,327,Netflix,Não,Promotor,21.39
327,328,Globoplay,Não,Neutro,24.75
328,329,Disney,Sim,Neutro,27.38
329,330,Disney,Não,Promotor,18.84
330,331,Disney,Não,Neutro,11.49
331,332,Disney,Sim,Neutro,12.88
332,333,Netflix,Sim,Promotor,23.97
333,334,Prime,Não,Promotor,26.6
334,335,MAX,Não,Promotor,10.72
335,336,Netflix,Não,Promotor,25.61
336,337,Disney,Não,Promotor,26.52
337,338,Disney,Não,Promotor,23.07
338,339,Netflix,Não,Promotor,14.03
339,340,Prime,Não,Promotor,18.49
340,341,Prime,Sim,Neutro,25.56
341,342,MAX,Não,Detrator,29.64
342,343,Prime,Não,Detrator,29.91
343,344,Disney,Não,Neutro,17.27
344,345,MAX,Sim,Neutro,11.01
345,346,Prime,Não,Promotor,22.46
346,347,Prime,Não,Neutro,13.42
347,348,Globoplay,Sim,Neutro,19.43
348,349,MAX,Não,Neutro,10.67
349,350,Prime,Sim,Detrator,29.37
350,351,Globoplay,Sim,Promotor,22.29
351,352,Globoplay,Não,Promotor,21.64
352,353,Disney,Não,Promotor,22.4
353,354,Disney,Sim,Detrator,29.57
354,355,Globoplay,Sim,Detrator,26.58
355,356,Globoplay,Não,Promotor,28.19
356,357,Prime,Não,Neutro,23.81
357,358,Disney,Sim,Neutro,14.75
358,359,MAX,Não,Promotor,26.19
359,360,Prime,Sim,Neutro,23.63
360,361,Netflix,Não,Neutro,16.2
361,362,Netflix,Não,Promotor,20.59
362,363,Disney,Sim,Promotor,18.82
363,364,Prime,Não,Promotor,12.39
364,365,Disney,Não,Promotor,21.91
365,366,Disney,Não,Neutro,25.06
366,367,Prime,Não,Promotor,28.73
367,368,MAX,Sim,Neutro,25.18
368,369,Disney,Não,Promotor,28.29
369,370,Globoplay,Não,Detrator,13.73
370,371,Globoplay,Não,Promotor,29.84
371,372,Disney,Não,Detrator,22.45
372,373,Netflix,Sim,Promotor,18.33
373,374,Netflix,Sim,Promotor,19.28
374,375,MAX,Não,Promotor,26.34
375,376,MAX,Não,Promotor,20.33
376,377,Netflix,Não,Detrator,19.43
377,378,Netflix,Não,Promotor,14.52
378,379,Prime,Não,Neutro,25.43
379,380,Disney,Sim,Promotor,18.58
380,381,Prime,Sim,Neutro,25.31
381,382,Disney,Não,Neutro,29.51
382,383,Globoplay,Não,Neutro,16.49
383,384,Disney,Não,Promotor,19.45
384,385,MAX,Sim,Promotor,11.34
385,386,Globoplay,Não,Detrator,25.39
386,387,MAX,Não,Neutro,27.31
387,388,Disney,Não,Promotor,24.07
388,389,Netflix,Sim,Promotor,18.27
389,390,MAX,Não,Promotor,20.9
390,391,Disney,Sim,Detrator,15.41
391,392,Prime,Não,Promotor,14.15
392,393,MAX,Sim,Promotor,14.11
393,394,MAX,Não,Neutro,11.95
394,395,Disney,Não,Neutro,28.63
395,396,Prime,Sim,Neutro,21.23
396,397,Prime,Não,Detrator,29.49
397,398,Netflix,Não,Promotor,29.55
398,399,Disney,Não,Neutro,29.36
399,400,Globoplay,Não,Neutro,15.17
400,401,Disney,Sim,Promotor,24.58
401,402,Globoplay,Não,Detrator,10.62
402,403,MAX,Não,Promotor,26.51
403,404,Globoplay,Sim,Promotor,12.99
404,405,Disney,Não,Promotor,10.41
405,406,Globoplay,Não,Neutro,16.68
406,407,Globoplay,Não,Promotor,11.07
407,408,Netflix,Sim,Neutro,18.62
408,409,Netflix,Não,Promotor,11.42
409,410,Disney,Não,Detrator,22.95
410,411,Netflix,Não,Neutro,12.98
411,412,Netflix,Sim,Detrator,18.47
412,413,MAX,Sim,Promotor,14.71
413,414,Globoplay,Não,Promotor,12.34
414,415,MAX,Não,Promotor,23.87
415,416,Netflix,Sim,Promotor,29.35
416,417,Disney,Sim,Promotor,19.06
417,418,MAX,Não,Promotor,23.83
418,419,Netflix,Sim,Detrator,13.59
419,420,Globoplay,Não,Promotor,29.77
420,421,Netflix,Não,Promotor,21.06
421,422,Prime,Não,Detrator,10.32
422,423,Prime,Sim,Neutro,29.31
423,424,Netflix,Sim,Promotor,25.55
424,425,Netflix,Não,Promotor,27.39
425,426,MAX,Sim,Promotor,16.09
426,427,Netflix,Não,Promotor,25.37
427,428,MAX,Não,Neutro,16.72
428,429,Globoplay,Sim,Neutro,25.42
429,430,Globoplay,Não,Promotor,11.0
430,431,MAX,Não,Neutro,18.25
431,432,MAX,Não,Neutro,17.77
432,433,MAX,Sim,Promotor,27.24
433,434,Netflix,Não,Detrator,15.36
434,435,Netflix,Não,Detrator,11.01
435,436,Prime,Sim,Promotor,25.4
436,437,Disney,Não,Promotor,17.02
437,438,Globoplay,Não,Detrator,28.09
438,439,Globoplay,Não,Promotor,25.3
439,440,MAX,Sim,Detrator,19.61
440,441,Netflix,Não,Promotor,27.9
441,442,Globoplay,Não,Detrator,21.05
442,443,MAX,Não,Promotor,22.53
443,444,Netflix,Não,Neutro,10.59
444,445,Netflix,Não,Detrator,12.81
445,446,Globoplay,Não,Promotor,13.03
446,447,Netflix,Sim,Detrator,29.91
447,448,Globoplay,Não,Promotor,18.18
448,449,Prime,Não,Promotor,17.41
449,450,MAX,Não,Neutro,28.48
450,451,Globoplay,Não,Detrator,13.37
451,452,Prime,Não,Promotor,29.59
452,453,MAX,Não,Promotor,22.19
453,454,Disney,Não,Promotor,12.73
454,455,Globoplay,Não,Detrator,14.98
455,456,Netflix,Não,Neutro,17.9
456,457,Prime,Não,Promotor,24.15
457,458,MAX,Sim,Neutro,11.83
458,459,Globoplay,Não,Promotor,12.18
459,460,MAX,Não,Neutro,12.53
460,461,Prime,Não,Promotor,15.84
461,462,Netflix,Não,Neutro,21.77
462,463,Netflix,Sim,Neutro,19.32
463,464,Disney,Não,Promotor,23.16
464,465,Netflix,Não,Detrator,21.97
465,466,MAX,Não,Neutro,14.61
466,467,Globoplay,Não,Promotor,27.05
467,468,Disney,Não,Neutro,20.67
468,469,Netflix,Não,Neutro,29.2
469,470,Globoplay,Sim,Neutro,25.96
470,471,Netflix,Não,Promotor,29.34
471,472,Netflix,Não,Detrator,24.43
472,473,MAX,Sim,Promotor,20.56
473,474,Prime,Não,Detrator,15.35
474,475,Disney,Não,Detrator,25.84
475,476,Netflix,Sim,Promotor,27.44
476,477,MAX,Não,Neutro,15.64
477,478,Prime,Sim,Promotor,16.96
478,479,Netflix,Sim,Neutro,20.72
479,480,Prime,Não,Neutro,24.58
480,481,Prime,Sim,Detrator,14.86
481,482,Prime,Não,Promotor,24.63
482,483,MAX,Não,Detrator,18.09
483,484,Prime,Sim,Detrator,10.2
484,485,Netflix,Não,Promotor,21.32
485,486,Globoplay,Não,Promotor,12.18
486,487,Prime,Sim,Detrator,13.86
487,488,Prime,Não,Detrator,23.17
488,489,Netflix,Não,Neutro,23.58
489,490,MAX,Sim,Promotor,14.66
490,491,Disney,Sim,Neutro,12.82
491,492,Disney,Não,Promotor,20.63
492,493,Globoplay,Não,Neutro,23.46
493,494,Disney,Não,Detrator,22.74
494,495,Disney,Não,Promotor,22.43
495,496,Prime,Sim,Neutro,29.69
496,497,Globoplay,Não,Neutro,13.83
497,498,Prime,Não,Neutro,21.21
498,499,Globoplay,Não,Detrator,29.52
499,500,Prime,Sim,Promotor,10.9
500,501,Disney,Não,Promotor,23.52
501,502,Netflix,Sim,Neutro,14.98
502,503,Prime,Não,Promotor,14.76
503,504,Netflix,Não,Promotor,25.54
504,505,Disney,Não,Promotor,10.62
505,506,Netflix,Não,Neutro,13.74
506,507,Globoplay,Não,Detrator,27.72
507,508,MAX,Sim,Detrator,27.71
508,509,MAX,Não,Promotor,28.93
509,510,Netflix,Não,Promotor,18.37
510,511,Globoplay,Sim,Promotor,22.61
511,512,Prime,Não,Promotor,27.26
512,513,Prime,Não,Promotor,22.33
513,514,Netflix,Não,Promotor,27.08
514,515,Globoplay,Sim,Promotor,16.82
515,516,Disney,Não,Promotor,16.26
516,517,Globoplay,Não,Promotor,14.51
517,518,Prime,Não,Detrator,22.51
518,519,Netflix,Não,Promotor,27.98
519,520,Disney,Sim,Detrator,16.24
520,521,Globoplay,Não,Promotor,23.3
521,522,Prime,Sim,Neutro,14.89
522,523,MAX,Não,Promotor,22.13
523,524,Globoplay,Sim,Promotor,19.63
524,525,Prime,Não,Neutro,11.93
525,526,Netflix,Sim,Neutro,23.68
526,527,MAX,Não,Detrator,15.01
527,528,Prime,Não,Promotor,26.9
528,529,Prime,Não,Promotor,10.89
529,530,Prime,Sim,Promotor,20.0
530,531,Disney,Não,Neutro,15.43
531,532,MAX,Não,Promotor,20.12
532,533,MAX,Não,Promotor,12.93
533,534,MAX,Sim,Detrator,29.88
534,535,Netflix,Não,Promotor,22.76
535,536,Disney,Não,Neutro,29.03
536,537,Prime,Não,Detrator,12.02
537,538,Disney,Não,Neutro,26.62
538,539,Globoplay,Sim,Neutro,21.44
539,540,Disney,Não,Promotor,20.05
540,541,Netflix,Não,Promotor,22.99
541,542,Netflix,Não,Promotor,19.59
542,543,Netflix,Não,Promotor,18.56
543,544,Globoplay,Não,Detrator,13.1
544,545,Disney,Sim,Promotor,18.05
545,546,MAX,Não,Neutro,19.08
546,547,Netflix,Não,Promotor,17.85
547,548,Prime,Não,Detrator,21.14
548,549,MAX,Não,Promotor,16.63
549,550,Netflix,Não,Detrator,18.29
550,551,Globoplay,Não,Detrator,25.23
551,552,MAX,Não,Detrator,27.14
552,553,Globoplay,Não,Promotor,14.77
553,554,Disney,Não,Promotor,25.05
554,555,Globoplay,Não,Detrator,24.75
555,556,Netflix,Sim,Promotor,10.57
556,557,Prime,Não,Promotor,19.85
557,558,MAX,Não,Promotor,21.01
558,559,Disney,Não,Promotor,14.66
559,560,MAX,Sim,Neutro,18.39
560,561,MAX,Não,Promotor,24.28
561,562,Prime,Não,Detrator,24.53
562,563,MAX,Não,Promotor,29.1
563,564,Prime,Sim,Detrator,24.18
564,565,Disney,Não,Promotor,11.61
565,566,Globoplay,Não,Detrator,22.99
566,567,Prime,Não,Promotor,11.08
567,568,Prime,Não,Neutro,28.43
568,569,Prime,Não,Promotor,20.69
569,570,Disney,Não,Detrator,10.94
570,571,Prime,Não,Promotor,23.95
571,572,Disney,Não,Neutro,23.61
572,573,Netflix,Sim,Detrator,15.51
573,574,Disney,Sim,Detrator,26.82
574,575,Prime,Sim,Promotor,12.58
575,576,Globoplay,Sim,Neutro,23.26
576,577,Netflix,Sim,Promotor,29.06
577,578,Prime,Sim,Promotor,23.38
578,579,Globoplay,Não,Neutro,18.37
579,580,Prime,Não,Promotor,23.57
580,581,Disney,Não,Promotor,28.23
581,582,MAX,Não,Promotor,15.11
582,583,MAX,Não,Detrator,23.3
583,584,MAX,Não,Detrator,28.76
584,585,Prime,Sim,Detrator,10.48
585,586,Netflix,Não,Neutro,16.09
586,587,Globoplay,Sim,Detrator,14.72
587,588,Disney,Não,Promotor,23.73
588,589,MAX,Sim,Neutro,10.74
589,590,MAX,Não,Detrator,21.69
590,591,Globoplay,Não,Promotor,14.82
591,592,Globoplay,Não,Neutro,10.58
592,593,Globoplay,Não,Promotor,10.85
593,594,Disney,Não,Neutro,22.36
594,595,Prime,Não,Promotor,11.64
595,596,Globoplay,Não,Promotor,29.46
596,597,Globoplay,Não,Promotor,14.53
597,598,Netflix,Não,Neutro,16.39
598,599,Netflix,Não,Detrator,15.94
599,600,Globoplay,Sim,Neutro,20.77
600,601,Netflix,Sim,Neutro,19.81
601,602,Netflix,Sim,Promotor,15.81
602,603,Globoplay,Sim,Promotor,21.99
603,604,Globoplay,Não,Promotor,18.0
604,605,Prime,Não,Detrator,12.48
605,606,Globoplay,Não,Detrator,22.8
606,607,Prime,Não,Promotor,15.37
607,608,MAX,Não,Promotor,21.52
608,609,Netflix,Não,Detrator,21.14
609,610,Netflix,Não,Promotor,13.36
610,611,MAX,Não,Promotor,17.7
611,612,Netflix,Não,Detrator,29.1
612,613,Netflix,Não,Neutro,10.31
613,614,Disney,Não,Neutro,28.67
614,615,Netflix,Não,Promotor,14.95
615,616,Globoplay,Não,Detrator,12.88
616,617,Globoplay,Não,Neutro,20.63
617,618,Prime,Sim,Neutro,10.09
618,619,Globoplay,Não,Promotor,22.39
619,620,Netflix,Não,Promotor,22.79
620,621,Prime,Não,Promotor,22.64
621,622,Prime,Sim,Promotor,12.68
622,623,Prime,Não,Promotor,17.93
623,624,MAX,Não,Promotor,28.57
624,625,Prime,Não,Promotor,24.78
625,626,Disney,Não,Promotor,21.94
626,627,Disney,Sim,Promotor,20.43
627,628,Prime,Sim,Detrator,23.21
628,629,Globoplay,Não,Detrator,22.8
629,630,Prime,Não,Neutro,27.41
630,631,Prime,Não,Promotor,17.26
631,632,Disney,Sim,Neutro,24.42
632,633,Disney,Sim,Promotor,13.21
633,634,Prime,Não,Promotor,18.75
634,635,Disney,Não,Promotor,26.57
635,636,MAX,Não,Promotor,13.35
636,637,Globoplay,Não,Promotor,11.79
637,638,Prime,Sim,Neutro,23.55
638,639,Prime,Sim,Neutro,12.37
639,640,MAX,Sim,Neutro,23.31
640,641,Netflix,Não,Neutro,26.58
641,642,Globoplay,Não,Detrator,19.75
642,643,Prime,Sim,Neutro,20.85
643,644,Netflix,Não,Promotor,13.56
644,645,Disney,Não,Promotor,26.05
645,646,Globoplay,Sim,Promotor,10.07
646,647,Globoplay,Não,Promotor,26.5
647,648,MAX,Sim,Neutro,22.98
648,649,Disney,Não,Neutro,11.25
649,650,Prime,Sim,Detrator,23.8
650,651,Disney,Não,Promotor,11.54
651,652,Prime,Não,Promotor,22.27
652,653,Netflix,Não,Detrator,17.56
653,654,Prime,Não,Promotor,23.62
654,655,MAX,Sim,Promotor,25.1
655,656,Globoplay,Não,Promotor,14.64
656,657,Netflix,Não,Promotor,14.52
657,658,Netflix,Sim,Detrator,14.66
658,659,MAX,Não,Promotor,17.74
659,660,Netflix,Não,Promotor,15.8
660,661,Netflix,Não,Neutro,14.0
661,662,Netflix,Não,Detrator,14.14
662,663,Globoplay,Não,Promotor,28.34
663,664,Prime,Não,Promotor,26.41
664,665,Disney,Não,Promotor,29.96
665,666,MAX,Sim,Promotor,26.82
666,667,Globoplay,Não,Detrator,18.45
